ew,em,predicted_em,L_line
0.1487233260250973,3.05760640607993e+53,1.9628886814340252e+52,2.477615019086946e+32
0.13394506385667315,3.186786036112018e+53,7.716048651621715e+52,2.2389464357174304e+32
0.1913055251259833,3.672739997970943e+53,4.686976942047973e+54,3.194668988428203e+32
0.21487622838024428,3.5780599087081236e+53,2.7143531128946973e+53,3.5902799917895086e+32
0.33708355416093533,6.0334783514780714e+53,1.067002977544075e+54,5.629576163351694e+32
6.130845928045259,2.2429827001386138e+55,6.481320399391889e+55,1.0310515735591576e+34
1.1366250282942492,8.362816343577339e+53,3.753505173863775e+54,1.903097284243531e+33
6.850068956577527,2.404490590989844e+55,1.4754901187003782e+55,1.15104472368261e+34
8.150780232603115,1.0084018701032891e+57,8.962603110485597e+56,1.3983046086723807e+34
0.1425705628438555,2.92804272329046e+53,3.1690625963837996e+52,2.3803042861801955e+32
0.07259874029263567,3.116605588550972e+53,1.2457477291003631e+53,1.2179445440480373e+32
0.07156508863614779,4.0026734214819685e+53,7.56707369992394e+54,1.1937947361110899e+32
0.183460724959639,3.6841234786248273e+53,4.382293812590707e+53,3.0714875436414238e+32
0.33057204868350487,8.605459842527117e+53,1.7226647941618277e+54,5.5165907551440814e+32
7.355106928018969,8.905279543732803e+55,1.0464021850636385e+56,1.2473908653259096e+34
0.9954332176808409,1.11321320502737e+54,6.059993602456747e+54,1.6668688842672932e+33
8.993654188378423,6.145682035037901e+55,2.382162875936121e+55,1.519401629227205e+34
9.93750330254494,2.4669716680528283e+57,1.447002601437545e+57,1.7177070772970778e+34
0.060771333183162135,1.65160919426e+53,1.333632769101259e+53,1.026855939984977e+32
0.30236106969949916,1.3309593632433003e+54,3.1844424480407726e+55,5.094992456878792e+32
0.21724627394113433,3.92416957912e+53,1.8441953904506773e+54,3.668655056853663e+32
2.0435368631168447,6.544794152156801e+54,7.249469361358915e+54,3.431525024658789e+33
5.713130859567929,2.8321421744580316e+57,4.40356162498161e+56,9.934233119364624e+33
1.8027086027473205,2.5966468842174e+54,2.5502197583608515e+55,3.024952822500533e+33
8.224127972385002,1.0040686307118356e+57,1.0024827140713743e+56,1.4427950850340794e+34
15.333442412058458,8.228511522922807e+57,6.089403498857766e+57,2.690655374408908e+34
0.12343761298506815,1.182208976039099e+53,3.237133567228837e+52,2.0548637711259345e+32
0.12523460758773197,1.6213665475566854e+53,1.2725061962397078e+53,2.0814870141276666e+32
0.8405480519899894,1.2169055209846727e+54,7.729613264083244e+54,1.4049822656388303e+33
0.18773779838630197,2.3428665336162144e+53,4.47642480094406e+53,3.132864000001596e+32
3.041476740253294,4.333196275019799e+54,1.7596673655571924e+54,5.092239347256797e+33
7.081589132338934,4.549576397656928e+56,1.06887874097417e+56,1.232357521762246e+34
1.4305574461379469,1.3546329389330586e+54,6.190161320918559e+54,2.393547835205989e+33
8.979067257878246,2.138473513897155e+56,2.4333313633812372e+55,1.543542553869073e+34
19.523133252322513,1.1866031372344452e+57,1.4780839918800905e+57,3.706464571351922e+34
0.10167940132127815,1.04104175877995e+53,5.226317215252811e+52,1.6954491128746598e+32
0.15337092680714953,1.5226504055558198e+53,2.054447523342902e+53,2.5568483179321397e+32
1.3159689067443179,2.296281888406328e+54,1.2479377211459062e+55,2.2030197869508866e+33
0.19494266830461854,2.18539343663364e+53,7.227139539993143e+53,3.258693499899893e+32
3.627820348603046,5.510048983311298e+54,2.84096397468174e+54,6.077972813771816e+33
8.84724799792942,5.218248402855777e+56,1.7256931939800164e+56,1.5615989700908783e+34
1.2893484643762245,1.311100678522488e+54,9.993948660080656e+54,2.1573626269983704e+33
11.21089897425103,2.917558050247427e+56,3.9285872302577583e+55,1.945501859382895e+34
23.33408853187534,1.417573453879446e+57,2.3863506561965807e+57,4.592008166555319e+34
2.595793104295546,6.374123607992335e+55,5.251681177319889e+55,4.3869062508581305e+33
0.0022827187081667687,3.6680979018891005e+53,3.041388367778069e+54,4.2902569912394875e+30
3.3821378131084012,4.75149704704705e+55,1.1955594240376037e+55,5.712861315661402e+33
7.590606908126065,2.3680094229046316e+57,7.26221373958636e+56,1.3293742882660582e+34
0.8685826112856063,2.8440231338829102e+54,4.2057412942893545e+55,1.4590132429592293e+33
10.688526849611009,1.3382189395706744e+57,1.6532625996479302e+56,1.8454515552931756e+34
30.14418730177173,5.871435151319372e+57,1.0042450525595815e+58,6.038195879135356e+34
0.10856126835706117,1.2385002501490798e+53,5.338577694800319e+52,1.8101846820268822e+32
0.15679426198589644,1.78702409280622e+53,2.0985767360708565e+53,2.613669292167308e+32
1.8916607186106376,1.1750453926828204e+55,1.2747432289731777e+55,3.1690142320589063e+33
0.196734916857233,2.09464011234125e+53,7.38237737135718e+53,3.2835765661242365e+32
2.459849228157379,8.790473305977275e+54,2.901987438248864e+54,4.120207253046816e+33
9.618936023405574,2.9601476783842792e+56,1.7627608149316938e+56,1.6727794125156839e+34
1.0059081690799387,9.928644201580201e+53,1.0208617120288072e+55,1.6823158183483105e+33
11.337843247942345,2.0217443211905075e+56,4.0129726719079857e+55,1.946275227744216e+34
31.796565447534853,2.405817035043305e+57,2.437609096509295e+57,6.644735293421589e+34
0.07007101468153387,1.262644557529e+53,8.619076084396757e+52,1.1740401391607616e+32
0.12319666254144265,1.8595785271249998e+53,3.3881294965055808e+53,2.0594536326834165e+32
2.5130464070341967,1.3476963057046102e+55,2.058059188553286e+55,4.217151095340385e+33
0.16604260346153432,2.165777056167e+53,1.1918768609367674e+54,2.779948432741455e+32
3.0521244966593013,9.7444161285563e+54,4.6852274062793684e+54,5.117980628421714e+33
11.317072063565366,3.6831626280392884e+56,2.845958315318203e+56,1.9884308902997055e+34
0.976861624940185,1.0344407696906e+54,1.6481702188569403e+55,1.6348656206733457e+33
14.089144154309935,2.295217019977789e+56,6.47890107836541e+55,2.429934496468336e+34
35.506364184127506,2.5673436748820374e+57,3.935493584235782e+57,7.433479660382073e+34
